ChannelTitle,Title,Published_date,Views,Likes,Comments
freecodecamp org,merging github pull requests p live coding jesse,2017-10-12,2416,48,0
freecodecamp org,agile manifesto agile software development,2017-07-22,6839,99,7
freecodecamp org,functions beau teaches javascript,2017-03-08,69539,1152,43
freecodecamp org,chrome dev tools memory tab,2015-08-24,18591,148,4
alex analyst,dataanalysis dataanalyst datarealities,2023-10-09,24444,1525,21
alex analyst,loops python python beginners,2022-11-29,58542,1544,28
blue brown,q net neutrality nuance,2017-12-14,147284,4744,316
freecodecamp org,vector search rag tutorial combine data llms advanced search,2023-12-11,210169,4611,124
freecodecamp org,ionic capacitor building native mobile apps full course beginners,2023-05-15,124202,2317,103
freecodecamp org,json web tokens jwt auth explained tutorial,2019-11-12,125078,2268,63
freecodecamp org,data structures intro computer science harvard cs,2019-01-26,134695,2508,61
freecodecamp org,learn react js full course beginners tutorial,2018-12-18,3080906,45226,2276
freecodecamp org,become senior developer instead,2018-09-19,16717,376,10
freecodecamp org,answering tricky javascript interview questions,2018-08-14,68062,1914,68
freecodecamp org,objects part beau teaches javascript,2017-03-21,17113,259,5
freecodecamp org,module design pattern beau teaches javascript,2017-02-12,30472,522,24
blue brown,higher order derivatives chapter essence calculus,2017-05-07,759546,17885,421
freecodecamp org,learn blockchain solidity full stack web development javascript hour course,2022-05-26,2987987,66330,3565
freecodecamp org,code discord chat bot talks like favorite character tutorial,2021-08-26,208148,7991,321
freecodecamp org,recursion programming full course,2021-07-19,951586,25790,618
freecodecamp org,live coding project create hour tracking app using vue js part gwen faraday,2020-07-31,30637,540,35
freecodecamp org,find longest substring guessing game python basics sam,2020-07-28,36266,809,27
freecodecamp org,spring boot tutorial beginners java framework,2019-09-03,1770030,25991,869
freecodecamp org,learn graphql laravel vue js full tutorial,2019-07-10,59359,1280,44
freecodecamp org,ethical hacking web app penetration testing full course beginners,2018-12-12,1964453,42168,597
freecodecamp org,maths programmers tutorial full course sets logic,2018-10-01,1362619,43842,733
freecodecamp org,big code slows data grows,2018-06-11,63605,2876,53
freecodecamp org,async await javascript talk wes bos,2018-04-16,117925,3792,64
freecodecamp org,live search react wordpress api p live coding jesse,2018-02-27,3004,47,1
alex analyst,data analyst q live,2020-10-30,3505,105,25
blue brown,would light slow optics puzzles,2023-11-30,1405018,46247,1860
freecodecamp org,career change code complete guide full course aspiring developers,2024-02-07,115393,2822,149
freecodecamp org,learn typescript full tutorial,2022-11-10,1075093,27294,853
freecodecamp org,react graphql course build social media app merng stack,2020-10-14,488343,13534,834
freecodecamp org,calculus full college course,2020-08-25,7218747,246262,6086
freecodecamp org,android development course build native apps kotlin tutorial,2019-10-29,330715,6849,147
freecodecamp org,day amazon developer dave jeffers,2017-05-12,130166,1171,102
freecodecamp org,git github step commit,2016-09-23,29535,359,2
alex analyst,regular expression use cases python,2023-08-22,9308,219,20
alex analyst,reviewing maven analytics free portfolio website,2023-01-17,25406,783,48
alex analyst,top coursera courses data analysts,2020-10-13,109848,4766,286
blue brown,pattern breaks good reason moser circle problem,2023-07-02,2139843,88156,2171
blue brown,divergence curl language maxwell equations fluid flow,2018-06-21,4287913,133484,3778
freecodecamp org,remix strapi crash course full stack development,2023-12-18,40003,942,71
freecodecamp org,go programming tutorial beginner projects,2023-11-21,44084,1091,36
freecodecamp org,net rest api tutorial build scratch c,2021-06-23,647342,11927,488
freecodecamp org,algorithms data structures tutorial full course beginners,2021-03-18,4693245,128014,1865
freecodecamp org,basics sql injection penetration testing ethical hackers,2021-01-19,169835,5014,150
freecodecamp org,intro java programming course absolute beginners,2019-05-21,3382984,45572,952
freecodecamp org,recursion software development,2017-08-22,109263,1727,65
freecodecamp org,javascript lingo regular expressions,2015-08-23,16942,190,7
alex analyst,give job search fast,2024-03-27,18255,1358,27
alex analyst,hiring managers looking nail interview process,2023-07-18,32300,1271,67
